X,CP
-0.244,-0.18100000000000005
-0.19300000239999998,-0.1930001600000001
-0.14200000479999997,-0.22599988400000004
-0.1040000941,-0.28100014000000006
-0.07900073199999999,-0.378999776
-0.04599995500000001,-0.8579999812
-0.03300002199999999,-0.897
-0.020000089,-0.8380000248
0.013000687999999982,-0.3750002
0.03800020399999998,-0.2969998760000001
0.075999653,-0.23999983200000008
0.12700057399999998,-0.2149999760000001
0.17799995600000001,-0.2110004000000001
0.228999338,-0.2149999760000001
0.381000212,-0.22299984400000006
0.532999547,-0.23300021599999998
0.685999232,-0.24299987200000006
0.838000106,-0.25099974
0.9909997909999999,-0.26400015200000004
1.143000665,-0.2780001000000001
1.295,-0.29600034
